Location,Population
Ville de Montréal,1649519
Ahuntsic-Cartierville,126891
Anjou,41928
Côte-des-Neiges–Notre-Dame-de-Grâce,165031
Lachine,41616
LaSalle,74276
Le Plateau-Mont-Royal,100390
Le Sud-Ouest,71546
L'Île-Bizard–Sainte-Geneviève,18097
Mercier–Hochelaga-Maisonneuve,131483
Montréal-Nord,83868
Outremont,23566
Pierrefonds-Roxboro,68410
Rivière-des-Prairies–Pointe-aux-Trembles,106437
Rosemont–La Petite-Patrie,134038
Saint-Laurent,93842
Saint-Léonard,75707
Verdun,66158
Ville-Marie,84013
Villeray–Saint-Michel–Parc-Extension,142222
